OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod;Version
OID50119;assay;P06731;CEACAM5;Reveal;1;R10001;FALSE;-2.14262784687304;150;lod_count;10.0.0
OID50120;assay;P49715;CEBPA;Reveal;1;R10001;FALSE;-0.452292117427162;2112;lod_npx;10.0.0
OID50121;assay;Q9UHN6;CEMIP2;Reveal;1;R10001;FALSE;-2.23786437364016;1672;lod_npx;10.0.0
OID50122;assay;Q9UPV0;CEP164;Reveal;1;R10001;FALSE;-0.357408361362793;3736;lod_npx;10.0.0
OID50123;assay;P0CG37;CFC1;Reveal;1;R10001;FALSE;-2.91680273931886;306;lod_npx;10.0.0
OID50124;assay;Q9UEE9;CFDP1;Reveal;1;R10001;FALSE;-0.931127103775838;3068;lod_npx;10.0.0
OID50125;assay;P11229;CHRM1;Reveal;1;R10001;FALSE;-0.865925524293816;662;lod_npx;10.0.0
OID50126;assay;O15111;CHUK;Reveal;1;R10001;FALSE;-3.09812680449255;376;lod_npx;10.0.0
OID50127;assay;Q6EIG7;CLEC6A;Reveal;1;R10001;FALSE;0.128928470451337;4152;lod_npx;10.0.0
OID50129;assay;Q9BSW2;CRACR2A;Reveal;1;R10001;FALSE;-2.19869072544783;1480;lod_npx;10.0.0
OID50130;assay;P06850;CRH;Reveal;1;R10001;FALSE;-0.525594300438969;7070;lod_npx;10.0.0
OID50131;assay;P04141;CSF2;Reveal;1;R10001;FALSE;2.13538517775706;4878;lod_npx;10.0.0
OID50132;assay;P09919;CSF3;Reveal;1;R10001;FALSE;-0.49925531831998;5492;lod_npx;10.0.0
OID50133;assay;P48730;CSNK1D;Reveal;1;R10001;FALSE;-0.332502737573812;932;lod_npx;10.0.0
OID50134;assay;Q16619;CTF1;Reveal;1;R10001;FALSE;-0.381101665624723;5970;lod_npx;10.0.0
OID50136;assay;P48061;CXCL12;Reveal;1;R10001;FALSE;-2.39476772693204;1144;lod_npx;10.0.0
OID50137;assay;Q9UJW0;DCTN4;Reveal;1;R10001;FALSE;-0.2636122969781;2196;lod_npx;10.0.0
OID50138;assay;O00148;DDX39A;Reveal;1;R10001;FALSE;-9.04044257228342e-05;11462;lod_npx;10.0.0
OID50139;assay;O95786;RIGI;Reveal;1;R10001;FALSE;-2.19425032794683;1064;lod_npx;10.0.0
OID50140;assay;O43583;DENR;Reveal;1;R10001;FALSE;-0.605662737532642;2248;lod_npx;10.0.0
OID50142;assay;Q8TDB6;DTX3L;Reveal;1;R10001;FALSE;-0.360604538985779;488;lod_npx;10.0.0
OID50143;assay;Q14204;DYNC1H1;Reveal;1;R10001;FALSE;0.525033351118752;15302;lod_npx;10.0.0
OID50144;assay;Q9H223;EHD4;Reveal;1;R10001;FALSE;-3.05745892422469;2636;lod_npx;10.0.0
OID50145;assay;O60573;EIF4E2;Reveal;1;R10001;FALSE;-2.14172812366158;832;lod_npx;10.0.0
OID50146;assay;Q15370;ELOB;Reveal;1;R10001;FALSE;0.0392387859353909;1992;lod_npx;10.0.0
OID50147;assay;Q8N8S7;ENAH;Reveal;1;R10001;FALSE;0.0573084551625578;4180;lod_npx;10.0.0
OID50148;assay;Q9Y2J2;EPB41L3;Reveal;1;R10001;FALSE;-6.03213000874561;264;lod_count;10.0.0
OID50149;assay;P50548;ERF;Reveal;1;R10001;FALSE;-2.92608182832755;2904;lod_npx;10.0.0
OID50150;assay;P03372;ESR1;Reveal;1;R10001;FALSE;-0.514542475196083;1434;lod_npx;10.0.0
OID50151;assay;Q9NQT5;EXOSC3;Reveal;1;R10001;FALSE;-1.18881996426633;1240;lod_npx;10.0.0
OID50152;assay;Q96CS3;FAF2;Reveal;1;R10001;FALSE;-0.097824187230266;4014;lod_npx;10.0.0
OID50153;assay;Q9NVF7;FBXO28;Reveal;1;R10001;FALSE;0.29078913745977;4872;lod_npx;10.0.0
OID50154;assay;P12319;FCER1A;Reveal;1;R10001;FALSE;-1.23047830988181;590;lod_npx;10.0.0
OID50156;assay;Q96P31;FCRL3;Reveal;1;R10001;FALSE;-1.0903503362609;306;lod_npx;10.0.0
OID50157;assay;P12034;FGF5;Reveal;1;R10001;FALSE;0.138588614778231;6274;lod_npx;10.0.0
OID50158;assay;P09769;FGR;Reveal;1;R10001;FALSE;-1.80414547352915;372;lod_npx;10.0.0
OID50159;assay;Q96AY3;FKBP10;Reveal;1;R10001;FALSE;-3.90282001128804;674;lod_npx;10.0.0
OID50160;assay;Q5T1M5;FKBP15;Reveal;1;R10001;FALSE;-3.42017691171546;1084;lod_npx;10.0.0
OID50161;assay;P36888;FLT3;Reveal;1;R10001;FALSE;-0.846090245122834;3534;lod_npx;10.0.0
OID50162;assay;Q04609;FOLH1;Reveal;1;R10001;FALSE;-2.19455083617616;1110;lod_npx;10.0.0
OID50163;assay;Q9UPW0;FOXJ3;Reveal;1;R10001;FALSE;-0.487070749041102;2846;lod_npx;10.0.0
OID50164;assay;O43524;FOXO3;Reveal;1;R10001;FALSE;0.522999974496727;584;lod_npx;10.0.0
OID50165;assay;P35637;FUS;Reveal;1;R10001;FALSE;-1.24564523256998;7718;lod_npx;10.0.0
OID50166;assay;Q96DB9;FXYD5;Reveal;1;R10001;FALSE;0.0822852137612547;9180;lod_npx;10.0.0
OID50167;assay;Q9BQS8;FYCO1;Reveal;1;R10001;FALSE;-3.03244154771625;326;lod_npx;10.0.0
OID50168;assay;Q14435;GALNT3;Reveal;1;R10001;FALSE;-3.0575116896142;366;lod_npx;10.0.0
OID50169;assay;P32456;GBP2;Reveal;1;R10001;FALSE;-0.085594246239774;3226;lod_npx;10.0.0
OID50171;assay;P01275;GCG;Reveal;1;R10001;FALSE;-2.51278486866576;1652;lod_npx;10.0.0
OID50173;assay;P39905;GDNF;Reveal;1;R10001;FALSE;0.610905796006054;6476;lod_npx;10.0.0
OID50174;assay;P14136;GFAP;Reveal;1;R10001;FALSE;-2.93177658910553;582;lod_npx;10.0.0
OID50175;assay;P55789;GFER;Reveal;1;R10001;FALSE;-0.939847075181383;3646;lod_npx;10.0.0
